experiment,plant,genotype,scenario,line,position,sowing,first_valid_image,last_valid_image,harvest,plant_leaf_area,viable,representative
ZA16,0001/Lo1270_H/ZM2887/d151/WD/3/01_01/ARCH2016-04-15,Lo1270_H,WD,1,1,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0002/Oh40B_H/ZM2906/d162/WD/3/01_02/ARCH2016-04-15,Oh40B_H,WD,1,2,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0003/Lo1284_H/ZM2892/d154/WD/3/01_03/ARCH2016-04-15,Lo1284_H,WD,1,3,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0004/NS701_H/ZM2905/d161/WD/3/01_04/ARCH2016-04-15,NS701_H,WD,1,4,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0005/I205_H/ZM2849/d128/WD/3/01_05/ARCH2016-04-15,I205_H,WD,1,5,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0006/F7001_H/ZM2732/d38/WD/3/01_06/ARCH2016-04-15,F7001_H,WD,1,6,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0007/EZ38_H/ZM2816/d103/WD/3/01_07/ARCH2016-04-15,EZ38_H,WD,1,7,2016-05-10,2016-05-17,2016-06-21,2016-06-21,3940.789,True,True
ZA16,0008/B84_H/ZM2701/d09/WD/3/01_08/ARCH2016-04-15,B84_H,WD,1,8,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0009/W95115_H/ZM2777/d73/WD/3/01_09/ARCH2016-04-15,W95115_H,WD,1,9,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0010/EZ40_H/ZM2736/d41/WD/3/01_10/ARCH2016-04-15,EZ40_H,WD,1,10,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0011/UH_S018_H/ZM2934/d182/WD/3/01_11/ARCH2016-04-15,UH_S018_H,WD,1,11,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0012/Lo1242_H/ZM2882/d146/WD/3/01_12/ARCH2016-04-15,Lo1242_H,WD,1,12,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0013/Lo1280_H/ZM2890/d153/WD/3/01_13/ARCH2016-04-15,Lo1280_H,WD,1,13,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0014/NC358_H/ZM2786/d82/WD/3/01_14/ARCH2016-04-15,NC358_H,WD,1,14,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0015/Lo1180_H/ZM2877/d143/WD/3/01_15/ARCH2016-04-15,Lo1180_H,WD,1,15,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0016/X061_H/ZM2943/d189/WD/3/01_16/ARCH2016-04-15,X061_H,WD,1,16,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0017/F353_H/ZM2775/d71/WD/3/01_17/ARCH2016-04-15,F353_H,WD,1,17,2016-05-10,2016-05-17,2016-06-21,2016-06-21,3342.935,True,True
ZA16,0018/UH_P066_H/ZM2983/a28/WD/3/01_18/ARCH2016-04-15,UH_P066_H,WD,1,18,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0019/F356_H/ZM2972/a17/WD/3/01_19/ARCH2016-04-15,F356_H,WD,1,19,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0020/FR19_H/ZM2710/d18/WD/3/01_20/ARCH2016-04-15,FR19_H,WD,1,20,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0021/Pa374_H/ZM2954/a39/WD/3/01_21/ARCH2016-04-15,Pa374_H,WD,1,21,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0022/Lo1087_H/ZM2868/d141/WD/3/01_22/ARCH2016-04-15,Lo1087_H,WD,1,22,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0023/LP41_H/ZM4287/p10/WD/3/01_23/ARCH2016-04-15,LP41_H,WD,1,23,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
