experiment,plant,genotype,scenario,line,position,sowing,first_valid_image,last_valid_image,harvest,plant_leaf_area,viable,representative
ZA16,0024/LP44_H/ZM4289/p13/WD/3/01_24/ARCH2016-04-15,LP44_H,WD,1,24,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0025/DKFBHJ_H/ZM2770/d66/WD/3/01_25/ARCH2016-04-15,DKFBHJ_H,WD,1,25,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0026/DK2MA22_H/ZM2946/a35/WD/3/01_26/ARCH2016-04-15,DK2MA22_H,WD,1,26,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0027/LP4_H/ZM4282/p05/WD/3/01_27/ARCH2016-04-15,LP4_H,WD,1,27,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0028/UH250_H/ZM2718/d25/WD/3/01_28/ARCH2016-04-15,UH250_H,WD,1,28,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0029/LH93_H/ZM2787/d83/WD/3/01_29/ARCH2016-04-15,LH93_H,WD,1,29,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0030/UH_P104_H/ZM2931/d181/WD/3/01_30/ARCH2016-04-15,UH_P104_H,WD,1,30,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0031/LP34_H/ZM4325/p48/WD/3/01_31/ARCH2016-04-15,LP34_H,WD,1,31,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0032/B110_H/ZM2792/d85/WD/3/01_32/ARCH2016-04-15,B110_H,WD,1,32,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0033/Wf9_H/ZM2942/d188/WD/3/01_33/ARCH2016-04-15,Wf9_H,WD,1,33,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0034/LAN496_H/ZM2726/d33/WD/3/01_34/ARCH2016-04-15,LAN496_H,WD,1,34,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0035/F604_H/ZM2964/a08/WD/3/01_35/ARCH2016-04-15,F604_H,WD,1,35,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0036/LP47_H/ZM4285/p08/WD/3/01_36/ARCH2016-04-15,LP47_H,WD,1,36,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0037/LP45_H/ZM4297/p20/WD/3/01_37/ARCH2016-04-15,LP45_H,WD,1,37,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0038/EA1163_H/ZM2761/d59/WD/3/01_38/ARCH2016-04-15,EA1163_H,WD,1,38,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0039/B98_H/ZM2768/d65/WD/3/01_39/ARCH2016-04-15,B98_H,WD,1,39,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0040/UH_6179_H/ZM2925/d176/WD/3/01_40/ARCH2016-04-15,UH_6179_H,WD,1,40,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0041/Lo1203_H/ZM2880/d145/WD/3/01_41/ARCH2016-04-15,Lo1203_H,WD,1,41,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0042/H99_H/ZM2842/d122/WD/3/01_42/ARCH2016-04-15,H99_H,WD,1,42,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0043/EP51_H/ZM2765/d63/WD/3/01_43/ARCH2016-04-15,EP51_H,WD,1,43,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0044/LP3_H/ZM4310/p33/WD/3/01_44/ARCH2016-04-15,LP3_H,WD,1,44,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,False,False
ZA16,0045/F7028_H/ZM2707/d15/WD/3/01_45/ARCH2016-04-15,F7028_H,WD,1,45,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0046/HMV5301_H/ZM2843/d123/WD/3/01_46/ARCH2016-04-15,HMV5301_H,WD,1,46,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0047/CO109_H/ZM2742/d46/WD/3/01_47/ARCH2016-04-15,CO109_H,WD,1,47,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0048/Lo1016_H/ZM2862/d137/WD/3/01_48/ARCH2016-04-15,Lo1016_H,WD,1,48,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0049/A374_H/ZM2709/d17/WD/3/01_49/ARCH2016-04-15,A374_H,WD,1,49,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0050/I261_H/ZM2854/d132/WD/3/01_50/ARCH2016-04-15,I261_H,WD,1,50,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0051/SC-Malawi_H/ZM2922/d174/WD/3/01_51/ARCH2016-04-15,SC-Malawi_H,WD,1,51,2016-05-10,2016-05-17,2016-06-21,2016-06-21,4157.963,True,True
ZA16,0052/Pa35_H/ZM2953/d192/WD/3/01_52/ARCH2016-04-15,Pa35_H,WD,1,52,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0053/A158_H/ZM2957/a03/WD/3/01_53/ARCH2016-04-15,A158_H,WD,1,53,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0054/CO158_H/ZM2959/a06/WD/3/01_54/ARCH2016-04-15,CO158_H,WD,1,54,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0055/PHK29_H/ZM2916/d169/WD/3/01_55/ARCH2016-04-15,PHK29_H,WD,1,55,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0056/PHG84_H/ZM2914/d167/WD/3/01_56/ARCH2016-04-15,PHG84_H,WD,1,56,2016-05-10,2016-05-17,2016-06-21,2016-06-21,3658.099,True,True
ZA16,0057/A554_H/ZM2908/d164/WD/3/01_57/ARCH2016-04-15,A554_H,WD,1,57,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0058/DKMBST_H/ZM2800/d89/WD/3/01_58/ARCH2016-04-15,DKMBST_H,WD,1,58,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0059/Lo1253_H/ZM2884/d148/WD/3/01_59/ARCH2016-04-15,Lo1253_H,WD,1,59,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0060/UH_S067_H/ZM2986/a31/WD/3/01_60/ARCH2016-04-15,UH_S067_H,WD,1,60,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0061/LP20_H/ZM4295/p18/WD/3/02_01/ARCH2016-04-15,LP20_H,WD,2,1,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0062/CO125_H/ZM2973/a04/WD/3/02_02/ARCH2016-04-15,CO125_H,WD,2,2,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0063/UH_P064_H/ZM2928/d178/WD/3/02_03/ARCH2016-04-15,UH_P064_H,WD,2,3,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0064/NQ508_H/ZM2904/d160/WD/3/02_04/ARCH2016-04-15,NQ508_H,WD,2,4,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0065/F1890_H/ZM2708/d16/WD/3/02_05/ARCH2016-04-15,F1890_H,WD,2,5,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0066/NC290_H/ZM2723/d30/WD/3/02_06/ARCH2016-04-15,NC290_H,WD,2,6,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0067/UH_P131_H/ZM2984/a29/WD/3/02_07/ARCH2016-04-15,UH_P131_H,WD,2,7,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0068/W117_H/ZM2939/d185/WD/3/02_08/ARCH2016-04-15,W117_H,WD,2,8,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0069/UH_P087_H/ZM2930/d180/WD/3/02_09/ARCH2016-04-15,UH_P087_H,WD,2,9,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0070/F894_H/ZM2702/d10/WD/3/02_10/ARCH2016-04-15,F894_H,WD,2,10,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0071/LP7_H/ZM4308/p31/WD/3/02_11/ARCH2016-04-15,LP7_H,WD,2,11,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0072/LP33_H/ZM4301/p24/WD/3/02_12/ARCH2016-04-15,LP33_H,WD,2,12,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0073/LP46_H/ZM4322/p45/WD/3/02_13/ARCH2016-04-15,LP46_H,WD,2,13,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0074/LP40_H/ZM4315/p38/WD/3/02_14/ARCH2016-04-15,LP40_H,WD,2,14,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0075/I238_H/ZM2852/d130/WD/3/02_15/ARCH2016-04-15,I238_H,WD,2,15,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0076/LH38_H/ZM2716/d23/WD/3/02_16/ARCH2016-04-15,LH38_H,WD,2,16,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0077/EC326A_H/ZM2962/a02/WD/3/02_17/ARCH2016-04-15,EC326A_H,WD,2,17,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0078/F98902_H/ZM2773/d69/WD/3/02_18/ARCH2016-04-15,F98902_H,WD,2,18,2016-05-10,2016-05-17,2016-06-21,2016-06-21,2797.773,True,True
ZA16,0079/FP1_H/ZM2838/d118/WD/3/02_19/ARCH2016-04-15,FP1_H,WD,2,19,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0080/EC136_H/ZM2776/d72/WD/3/02_20/ARCH2016-04-15,EC136_H,WD,2,20,2016-05-10,2016-05-17,2016-06-21,2016-06-21,3402.633,True,True
ZA16,0081/B100_H/ZM2711/d19/WD/3/02_21/ARCH2016-04-15,B100_H,WD,2,21,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0082/EZ18_H/ZM2812/d100/WD/3/02_22/ARCH2016-04-15,EZ18_H,WD,2,22,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0083/IDT_H/ZM2856/d134/WD/3/02_23/ARCH2016-04-15,IDT_H,WD,2,23,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0084/N22_H/ZM2901/d159/WD/3/02_24/ARCH2016-04-15,N22_H,WD,2,24,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0085/LP48_H/ZM4279/p02/WD/3/02_25/ARCH2016-04-15,LP48_H,WD,2,25,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0086/UH_P040_H/ZM2982/a27/WD/3/02_26/ARCH2016-04-15,UH_P040_H,WD,2,26,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0087/EA1027_H/ZM2807/d96/WD/3/02_27/ARCH2016-04-15,EA1027_H,WD,2,27,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0088/EZ42_H/ZM2817/d104/WD/3/02_28/ARCH2016-04-15,EZ42_H,WD,2,28,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0089/PHZ51_H/ZM2921/d173/WD/3/02_29/ARCH2016-04-15,PHZ51_H,WD,2,29,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0090/B113_H/ZM2751/d51/WD/3/02_30/ARCH2016-04-15,B113_H,WD,2,30,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0091/F317_H/ZM2970/a15/WD/3/02_31/ARCH2016-04-15,F317_H,WD,2,31,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0092/W64A_H/ZM2696/d04/WD/3/02_32/ARCH2016-04-15,W64A_H,WD,2,32,2016-05-10,2016-05-17,2016-06-21,2016-06-21,3241.059,True,True
ZA16,0093/LH123Ht_H/ZM2857/d135/WD/3/02_33/ARCH2016-04-15,LH123Ht_H,WD,2,33,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0094/Lo1273_H/ZM2888/d152/WD/3/02_34/ARCH2016-04-15,Lo1273_H,WD,2,34,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0095/X697_H/ZM2909/d165/WD/3/02_35/ARCH2016-04-15,X697_H,WD,2,35,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0096/LP21_H/ZM4283/p06/WD/3/02_36/ARCH2016-04-15,LP21_H,WD,2,36,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0097/PHK76_H/ZM2780/d76/WD/3/02_37/ARCH2016-04-15,PHK76_H,WD,2,37,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0098/F252_H/ZM2840/d120/WD/3/02_38/ARCH2016-04-15,F252_H,WD,2,38,2016-05-10,2016-05-17,2016-06-21,2016-06-21,3144.383,True,True
ZA16,0099/N25_H/ZM2744/d48/WD/3/02_39/ARCH2016-04-15,N25_H,WD,2,39,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0100/LP18_H/ZM4292/p15/WD/3/02_40/ARCH2016-04-15,LP18_H,WD,2,40,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0101/LP9_H/ZM4300/p23/WD/3/02_41/ARCH2016-04-15,LP9_H,WD,2,41,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0102/EC242C_H/ZM2805/d94/WD/3/02_42/ARCH2016-04-15,EC242C_H,WD,2,42,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0103/PB116_H/ZM2754/d53/WD/3/02_43/ARCH2016-04-15,PB116_H,WD,2,43,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0104/F838_H/ZM2720/d27/WD/3/02_44/ARCH2016-04-15,F838_H,WD,2,44,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0105/W33_H/ZM4328/a20/WD/3/02_45/ARCH2016-04-15,W33_H,WD,2,45,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0106/F874_H/ZM2834/d114/WD/3/02_46/ARCH2016-04-15,F874_H,WD,2,46,2016-05-10,2016-05-17,2016-06-21,2016-06-21,3290.597,True,True
ZA16,0107/W604S_H/ZM2941/d187/WD/3/02_47/ARCH2016-04-15,W604S_H,WD,2,47,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0108/EP67_H/ZM2809/d97/WD/3/02_48/ARCH2016-04-15,EP67_H,WD,2,48,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0109/LP17_H/ZM4291/p14/WD/3/02_49/ARCH2016-04-15,LP17_H,WD,2,49,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0110/N16_H/ZM2899/d158/WD/3/02_50/ARCH2016-04-15,N16_H,WD,2,50,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0111/LP10_H/ZM4298/p21/WD/3/02_51/ARCH2016-04-15,LP10_H,WD,2,51,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0112/F918_H/ZM2757/d56/WD/3/02_52/ARCH2016-04-15,F918_H,WD,2,52,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0113/LP37_H/ZM4307/p30/WD/3/02_53/ARCH2016-04-15,LP37_H,WD,2,53,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0114/PP147_H/ZM2955/d193/WD/3/02_54/ARCH2016-04-15,PP147_H,WD,2,54,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0115/UH_S025_H/ZM2936/d183/WD/3/02_55/ARCH2016-04-15,UH_S025_H,WD,2,55,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0116/LP27_H/ZM4281/p04/WD/3/02_56/ARCH2016-04-15,LP27_H,WD,2,56,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0117/EP10_H/ZM2781/d77/WD/3/02_57/ARCH2016-04-15,EP10_H,WD,2,57,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0118/LP32_H/ZM4313/p36/WD/3/02_58/ARCH2016-04-15,LP32_H,WD,2,58,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0119/LP31_H/ZM4280/p03/WD/3/02_59/ARCH2016-04-15,LP31_H,WD,2,59,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0120/MS153_H/ZM2699/d07/WD/3/02_60/ARCH2016-04-15,MS153_H,WD,2,60,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0121/11430_H/ZM2788/d84/WD/3/03_01/ARCH2016-04-15,11430_H,WD,3,1,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0122/F904_H/ZM2967/a11/WD/3/03_02/ARCH2016-04-15,F904_H,WD,3,2,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0123/LH85_H/ZM2974/a32/WD/3/03_03/ARCH2016-04-15,LH85_H,WD,3,3,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0124/B111_H/ZM2944/a34/WD/3/03_04/ARCH2016-04-15,B111_H,WD,3,4,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0125/UH_P089_H/ZM2724/d31/WD/3/03_05/ARCH2016-04-15,UH_P089_H,WD,3,5,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0126/K55_H/ZM4327/a18/WD/3/03_06/ARCH2016-04-15,K55_H,WD,3,6,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0127/F912_H/ZM2703/d11/WD/3/03_07/ARCH2016-04-15,F912_H,WD,3,7,2016-05-10,2016-05-17,2016-06-21,2016-06-21,4011.453,True,True
ZA16,0128/PHG47_H/ZM2771/d67/WD/3/03_08/ARCH2016-04-15,PHG47_H,WD,3,8,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0129/I198_H/ZM2848/d127/WD/3/03_09/ARCH2016-04-15,I198_H,WD,3,9,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0130/EP72_H/ZM2810/d98/WD/3/03_10/ARCH2016-04-15,EP72_H,WD,3,10,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0131/W182E_H/ZM2940/d186/WD/3/03_11/ARCH2016-04-15,W182E_H,WD,3,11,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0132/UH_4068_H/ZM2978/a24/WD/3/03_12/ARCH2016-04-15,UH_4068_H,WD,3,12,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0133/LP24_H/ZM4314/p37/WD/3/03_13/ARCH2016-04-15,LP24_H,WD,3,13,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0134/PH207_H/ZM2694/d02/WD/3/03_14/ARCH2016-04-15,PH207_H,WD,3,14,2016-05-10,2016-05-17,2016-06-21,2016-06-21,3010.837,True,True
ZA16,0135/F816_H/ZM2951/d191/WD/3/03_15/ARCH2016-04-15,F816_H,WD,3,15,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0136/Lo1038_H/ZM2865/d139/WD/3/03_16/ARCH2016-04-15,Lo1038_H,WD,3,16,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0137/LP1_H/ZM4309/p32/WD/3/03_17/ARCH2016-04-15,LP1_H,WD,3,17,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0138/Va26_H/ZM2938/d184/WD/3/03_18/ARCH2016-04-15,Va26_H,WD,3,18,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0139/F288_H/ZM4326/a14/WD/3/03_19/ARCH2016-04-15,F288_H,WD,3,19,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0140/LP43_H/ZM4318/p41/WD/3/03_20/ARCH2016-04-15,LP43_H,WD,3,20,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0141/F924_H/ZM2735/d40/WD/3/03_21/ARCH2016-04-15,F924_H,WD,3,21,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0142/HMV5405_H/ZM2734/d39/WD/3/03_22/ARCH2016-04-15,HMV5405_H,WD,3,22,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0143/F218_H/ZM2839/d119/WD/3/03_23/ARCH2016-04-15,F218_H,WD,3,23,2016-05-10,2016-05-17,2016-06-21,2016-06-21,3618.158,True,True
ZA16,0144/F922_H/ZM2837/d117/WD/3/03_24/ARCH2016-04-15,F922_H,WD,3,24,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0145/C103_H/ZM2793/d86/WD/3/03_25/ARCH2016-04-15,C103_H,WD,3,25,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0146/DE811_H/ZM2796/d88/WD/3/03_26/ARCH2016-04-15,DE811_H,WD,3,26,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0147/LP22_H/ZM4320/p43/WD/3/03_27/ARCH2016-04-15,LP22_H,WD,3,27,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0148/EZ11A_H/ZM2712/d20/WD/3/03_28/ARCH2016-04-15,EZ11A_H,WD,3,28,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0149/LH60_H/ZM2860/d136/WD/3/03_29/ARCH2016-04-15,LH60_H,WD,3,29,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0150/F752_H/ZM2833/d113/WD/3/03_30/ARCH2016-04-15,F752_H,WD,3,30,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0151/LP23_H/ZM4288/p11/WD/3/03_31/ARCH2016-04-15,LP23_H,WD,3,31,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0152/EA3076_H/ZM2779/d75/WD/3/03_32/ARCH2016-04-15,EA3076_H,WD,3,32,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0153/Oh43_H/ZM3251/d03/WD/3/03_33/ARCH2016-04-15,Oh43_H,WD,3,33,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
ZA16,0154/F546_H/ZM2820/d107/WD/3/03_34/ARCH2016-04-15,F546_H,WD,3,34,2016-05-10,2016-05-17,2016-06-21,2016-06-21,,True,True
